2016-12-14 10:50:00,834 - INFO  [main:QuorumPeerConfig@101] - Reading configuration from: /etc/zookeeper/conf/zoo.cfg
2016-12-14 10:50:01,201 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.name=Linux
2016-12-14 10:50:01,202 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.arch=amd64
2016-12-14 10:50:01,202 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.version=3.16.0-4-amd64
2016-12-14 10:50:01,202 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.name=zookeeper
2016-12-14 10:50:01,202 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.home=/var/lib/zookeeper
2016-12-14 10:50:01,202 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.dir=/
2016-12-14 10:50:01,204 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:ZooKeeperServer@162] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /var/lib/zookeeper/version-2 snapdir /var/lib/zookeeper/version-2
2016-12-14 10:50:01,205 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:Leader@345] - LEADING - LEADER ELECTION TOOK - 251
2016-12-14 10:50:01,208 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:FileTxnSnapLog@240] - Snapshotting: 0x0 to /var/lib/zookeeper/version-2/snapshot.0
2016-12-14 10:50:01,222 - INFO  [LearnerHandler-/192.168.4.102:48227:LearnerHandler@263] - Follower sid: 1 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@7b202754
2016-12-14 10:50:01,222 - INFO  [LearnerHandler-/192.168.4.103:56181:LearnerHandler@263] - Follower sid: 2 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@1726b597
2016-12-14 10:50:01,222 - INFO  [LearnerHandler-/192.168.4.104:44260:LearnerHandler@263] - Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@73358ddf
2016-12-14 10:50:01,231 - INFO  [LearnerHandler-/192.168.4.104:44260:LearnerHandler@318] - Synchronizing with Follower sid: 3 maxCommittedLog=0x0 minCommittedLog=0x0 peerLastZxid=0x0
2016-12-14 10:50:01,231 - INFO  [LearnerHandler-/192.168.4.104:44260:LearnerHandler@395] - Sending DIFF
2016-12-14 10:50:01,231 - INFO  [LearnerHandler-/192.168.4.103:56181:LearnerHandler@318] - Synchronizing with Follower sid: 2 maxCommittedLog=0x0 minCommittedLog=0x0 peerLastZxid=0x0
2016-12-14 10:50:01,232 - INFO  [LearnerHandler-/192.168.4.103:56181:LearnerHandler@395] - Sending DIFF
2016-12-14 10:50:01,252 - WARN  [LearnerHandler-/192.168.4.103:56181:Leader@574] - Commiting zxid 0x100000000 from /192.168.4.105:2888 not first!
2016-12-14 10:50:01,252 - WARN  [LearnerHandler-/192.168.4.103:56181:Leader@576] - First is 0x0
2016-12-14 10:50:01,252 - INFO  [LearnerHandler-/192.168.4.103:56181:Leader@598] - Have quorum of supporters; starting up and setting last processed zxid: 0x100000000
2016-12-14 10:50:01,254 - INFO  [LearnerHandler-/192.168.4.102:48227:LearnerHandler@318] - Synchronizing with Follower sid: 1 maxCommittedLog=0x0 minCommittedLog=0x0 peerLastZxid=0x0
2016-12-14 10:50:01,254 - INFO  [LearnerHandler-/192.168.4.102:48227:LearnerHandler@395] - Sending DIFF
